
##### 사이버 아포칼립스 pack.cyber (코호트 2)

[HEAD] Patched Hood  equip.head.patchedhood   (앵커 y=0.00000)
  HoodShell          fill   loop=True  filled=True  tone=0 layer=0 strokeMult=1.00 strokeInR=0.13840 noStroke=0 lineAlpha=1.00 n=48
      (+1.6000, -0.3600)
      (+1.5600, -0.0200)
      (+1.4600, +0.4000)
      (+1.4356, +0.5257)
      (+1.4022, +0.6494)
      (+1.3600, +0.7712)
      (+1.3089, +0.8911)
      (+1.2489, +1.0090)
      (+1.1800, +1.1250)
      (+1.1022, +1.2390)
      (+1.0156, +1.3511)
      (+0.9200, +1.4612)
      (+0.8156, +1.5694)
      (+0.7022, +1.6757)
      (+0.5800, +1.7800)
      (+0.4704, +1.8467)
      (+0.3548, +1.9044)
      (+0.2333, +1.9533)
      (+0.1059, +1.9933)
      (-0.0274, +2.0244)
      (-0.1667, +2.0467)
      (-0.3119, +2.0600)
      (-0.4630, +2.0644)
      (-0.6200, +2.0600)
      (-0.7178, +2.0261)
      (-0.8110, +1.9816)
      (-0.8998, +1.9265)
      (-0.9841, +1.8608)
      (-1.0639, +1.7845)
      (-1.1392, +1.6976)
      (-1.2100, +1.6000)
      (-1.2763, +1.4918)
      (-1.3382, +1.3731)
      (-1.3955, +1.2437)
      (-1.4484, +1.1037)
      (-1.4967, +0.9531)
      (-1.5406, +0.7918)
      (-1.5800, +0.6200)
      (-1.6600, +0.2000)
      (-1.7200, -0.2000)
      (-1.7400, -0.5000)
      (-1.1900, -0.4400)
      (-1.1900, +0.3400)
      (-0.6000, +0.3400)
      (+0.0000, +0.3400)
      (+0.6000, +0.3400)
      (+1.1900, +0.3400)
      (+1.1900, -0.3000)
  HoodLining         fillns loop=True  filled=True  tone=2 layer=0 strokeMult=1.00 strokeInR=0.13840 noStroke=1 lineAlpha=0.00 n=4
      (-0.7600, +0.3600)
      (+0.7600, +0.3600)
      (+0.7600, +0.9000)
      (-0.7600, +0.9000)
  HoodGem            fill   loop=True  filled=True  tone=1 layer=0 strokeMult=1.00 strokeInR=0.13840 noStroke=0 lineAlpha=1.00 n=6
      (+0.4400, +0.9400)
      (+0.7500, +1.4800)
      (+1.3700, +1.4800)
      (+1.6800, +0.9400)
      (+1.3700, +0.4000)
      (+0.7500, +0.4000)
  HoodSeam           seam   loop=False filled=False tone=4 layer=0 strokeMult=0.80 strokeInR=0.11072 noStroke=0 lineAlpha=0.55 n=11
      (+0.0000, +0.3400)
      (-0.0422, +0.5300)
      (-0.0888, +0.7160)
      (-0.1398, +0.8980)
      (-0.1952, +1.0760)
      (-0.2550, +1.2500)
      (-0.3192, +1.4200)
      (-0.3878, +1.5860)
      (-0.4608, +1.7480)
      (-0.5382, +1.9060)
      (-0.6200, +2.0600)
  HoodTrim           trim   loop=False filled=False tone=3 layer=0 strokeMult=0.75 strokeInR=0.10380 noStroke=0 lineAlpha=0.85 n=44
      (+1.1900, -0.3000)
      (+1.6000, -0.3600)
      (+1.5600, -0.0200)
      (+1.4600, +0.4000)
      (+1.4356, +0.5257)
      (+1.4022, +0.6494)
      (+1.3600, +0.7712)
      (+1.3089, +0.8911)
      (+1.2489, +1.0090)
      (+1.1800, +1.1250)
      (+1.1022, +1.2390)
      (+1.0156, +1.3511)
      (+0.9200, +1.4612)
      (+0.8156, +1.5694)
      (+0.7022, +1.6757)
      (+0.5800, +1.7800)
      (+0.4704, +1.8467)
      (+0.3548, +1.9044)
