
##### 사이버 아포칼립스 pack.cyber (코호트 2)

[HEAD] Patched Hood  equip.head.patchedhood   (앵커 y=0.00000)
  HoodShell          fill   loop=True  filled=True  tone=0 layer=0 strokeMult=1.00 strokeInR=0.13840 noStroke=0 lineAlpha=1.00 n=31
      (+1.6000, -0.5000)
      (+1.5600, -0.0500)
      (+1.4600, +0.4000)
      (+1.4022, +0.6494)
      (+1.3089, +0.8911)
      (+1.1800, +1.1250)
      (+1.0156, +1.3511)
      (+0.8156, +1.5694)
      (+0.5800, +1.7800)
      (+0.3784, +1.8936)
      (+0.1576, +1.9784)
      (-0.0824, +2.0344)
      (-0.3416, +2.0616)
      (-0.6200, +2.0600)
      (-0.8110, +1.9816)
      (-0.9841, +1.8608)
      (-1.1392, +1.6976)
      (-1.2763, +1.4918)
      (-1.3955, +1.2437)
      (-1.4967, +0.9531)
      (-1.5800, +0.6200)
      (-1.6600, +0.2000)
      (-1.7200, -0.2800)
      (-1.7400, -0.6600)
      (-1.1900, -0.6000)
      (-1.1900, +0.3000)
      (-0.6000, +0.3000)
      (+0.0000, +0.3000)
      (+0.6000, +0.3000)
      (+1.1900, +0.3000)
      (+1.1900, -0.4200)
  HoodLining         fillns loop=True  filled=True  tone=2 layer=0 strokeMult=1.00 strokeInR=0.13840 noStroke=1 lineAlpha=0.00 n=4
      (-0.7600, +0.3200)
      (+0.7600, +0.3200)
      (+0.7600, +0.8600)
      (-0.7600, +0.8600)
  HoodGem            fill   loop=True  filled=True  tone=1 layer=0 strokeMult=1.00 strokeInR=0.13840 noStroke=0 lineAlpha=1.00 n=6
      (+0.7800, +0.9200)
      (+1.0000, +1.2600)
      (+1.4400, +1.2600)
      (+1.6600, +0.9200)
      (+1.4400, +0.5800)
      (+1.0000, +0.5800)
  HoodSeam           seam   loop=False filled=False tone=4 layer=0 strokeMult=0.80 strokeInR=0.11072 noStroke=0 lineAlpha=0.55 n=6
      (+0.0000, +0.3000)
      (-0.0888, +0.6904)
      (-0.1952, +1.0616)
      (-0.3192, +1.4136)
      (-0.4608, +1.7464)
      (-0.6200, +2.0600)
  HoodTrim           trim   loop=False filled=False tone=3 layer=0 strokeMult=0.75 strokeInR=0.10380 noStroke=0 lineAlpha=0.85 n=27
      (+1.1900, -0.4200)
      (+1.6000, -0.5000)
      (+1.5600, -0.0500)
      (+1.4600, +0.4000)
      (+1.4022, +0.6494)
      (+1.3089, +0.8911)
      (+1.1800, +1.1250)
      (+1.0156, +1.3511)
      (+0.8156, +1.5694)
      (+0.5800, +1.7800)
      (+0.3784, +1.8936)
      (+0.1576, +1.9784)
      (-0.0824, +2.0344)
      (-0.3416, +2.0616)
      (-0.6200, +2.0600)
      (-0.8110, +1.9816)
      (-0.9841, +1.8608)
      (-1.1392, +1.6976)
      (-1.2763, +1.4918)
      (-1.3955, +1.2437)
      (-1.4967, +0.9531)
      (-1.5800, +0.6200)
      (-1.6600, +0.2000)
      (-1.7200, -0.2800)
      (-1.7400, -0.6600)
      (-1.1900, -0.6000)
      (-1.1900, +0.3000)
  HoodHighlight      hi     loop=False filled=False tone=3 layer=0 strokeMult=0.75 strokeInR=0.10380 noStroke=0 lineAlpha=0.42 n=3
      (-1.1900, +0.3000)
      (-1.0200, +0.7200)
      (-0.9200, +1.1000)

[EYES] Slit Visor  equip.eyes.slitvisor   (앵커 y=0.00000)
  VisorBar           fill   loop=True  filled=True  tone=0 layer=0 strokeMult=1.00 strokeInR=0.11530 noStroke=0 lineAlpha=1.00 n=18
      (+1.5600, +0.3200)
      (+1.3800, +0.4200)
      (+0.9194, +0.4422)
      (+0.4578, +0.4556)
      (-0.0050, +0.4600)
      (-0.4689, +0.4556)
      (-0.9339, +0.4422)
      (-1.4000, +0.4200)
      (-1.5800, +0.3200)
      (-1.5800, -0.2600)
      (-1.4000, -0.3600)
      (-0.9339, -0.3767)
      (-0.4689, -0.3867)
      (-0.0050, -0.3900)
      (+0.4578, -0.3867)
      (+0.9194, -0.3767)
      (+1.3800, -0.3600)
      (+1.5600, -0.2600)
  VisorBlockFront    fillns loop=True  filled=True  tone=2 layer=0 strokeMult=1.00 strokeInR=0.11530 noStroke=1 lineAlpha=0.00 n=12
      (+1.3600, -0.2400)
      (+1.5014, -0.1814)
      (+1.5600, -0.0400)
      (+1.5600, +0.1000)
      (+1.5014, +0.2414)
      (+1.3600, +0.3000)
      (+1.2200, +0.3000)
      (+1.0786, +0.2414)
      (+1.0200, +0.1000)
      (+1.0200, -0.0400)
      (+1.0786, -0.1814)
      (+1.2200, -0.2400)
  VisorBlockBack     fillns loop=True  filled=True  tone=2 layer=0 strokeMult=1.00 strokeInR=0.11530 noStroke=1 lineAlpha=0.00 n=12
      (-1.2200, -0.2400)
      (-1.0786, -0.1814)
      (-1.0200, -0.0400)
      (-1.0200, +0.1000)
      (-1.0786, +0.2414)
      (-1.2200, +0.3000)
      (-1.3600, +0.3000)
      (-1.5014, +0.2414)
      (-1.5600, +0.1000)
      (-1.5600, -0.0400)
      (-1.5014, -0.1814)
      (-1.3600, -0.2400)
  VisorSlit          fill   loop=True  filled=True  tone=1 layer=0 strokeMult=1.00 strokeInR=0.11530 noStroke=0 lineAlpha=1.00 n=6
      (-0.9339, -0.3767)
      (-0.0050, -0.3900)
      (+0.9194, -0.3767)
      (+1.0200, +0.0200)
      (+0.0000, +0.2800)
      (-1.0400, +0.0200)
  VisorStrap         line   loop=False filled=False tone=0 layer=1 strokeMult=1.00 strokeInR=0.11530 noStroke=0 lineAlpha=1.00 n=5
      (-1.5800, +0.3200)
      (-1.4700, +0.5038)
      (-1.3000, +0.6550)
      (-1.0700, +0.7738)
      (-0.7800, +0.8600)
  VisorAntenna       line   loop=False filled=False tone=0 layer=0 strokeMult=1.00 strokeInR=0.11530 noStroke=0 lineAlpha=1.00 n=3
      (-1.5800, +0.3200)
      (-1.5600, +0.8600)
      (-1.1400, +1.0200)
  VisorTrim          trim   loop=False filled=False tone=3 layer=0 strokeMult=0.75 strokeInR=0.08647 noStroke=0 lineAlpha=0.85 n=18
      (+1.5600, +0.3200)
      (+1.3800, +0.4200)
